TICKER, SELL_QTY
META, 1
AAPL, 1
SMCI, 1
LMB, 1
MLTX, 1
OPRA, 1
YPF, 1
CABA, 1
IMVT, 1
ELF, 1
WFRD, 1
TCMD, 1
EDN, 1
ACLS, 1
ETNB, 1
VIST, 1
TDW, 1
NVDA, 1
CIR, 1
WEAV, 1
DAKT, 1
ENIC, 1
MOD, 1
BELFB, 1
AEHR, 1
AAOI, 1
CBAY, 1
RCL, 1
BELFA, 1
MMMB, 1
JFIN, 1
INTT, 1
SYM, 1
STRL, 1
EVLV, 1
RIG, 1
RXST, 1
DO, 1
PLPC, 1
RMBS, 1
WULF, 1
TAYD, 1
UFPT, 1
TGLS, 1
ACVA, 1
ATEC, 1
DFH, 1
DMAC, 1
GGAL, 1
CARM, 1
CAAP, 1
EXTR, 1
PPSI, 1
RETA, 1
TGS, 1
BLDR, 1
NGL, 1
RCEL, 1
ARDX, 1
CVRX, 1
ROIV, 1
FTI, 1
VRT, 1
HOV, 1
BMA, 1
GRBK, 1
QD, 1
BBAR, 1
IAS, 1
IONQ, 1
DKNG, 1
ERO, 1
ALGM, 1
IRON, 1
CMT, 1
HGBL, 1
POWL, 1
AVDL, 1
INTA, 1
IRS, 1
ODC, 1
SKYW, 1
SGML, 1
TAST, 1
